TABLE,"QQ(kt,t,v)",,,Y1,Y2,Y3,X1,X2,X3,X4,X5,F1,F2
,1250,.,90,2111960000,4632.08,8565.31,119504240.7,132,24067136800000,0,357649500000,5235.26,0
,1355,.,90,3293453000,53690.8,11425.59,130985333.8,154,34718063200000,57624000000,0,28292.75,5.83462
,1356,.,90,8739025000,98206.82,28232.32,392986827.8,233,89847185600000,156996000000,0,51602.17,15.896362
,1357,.,90,790074000,16978.29,4361.6,73131737.58,109,9129892800000,14112000000,0,9015.62,1.428886
,1364,.,90,7860938000,205661.95,26859.58,350170658,400,81033096000000,185159410800,108035000000,108282.77,17.512789
,1570,.,90,488642000,3847.59,1554.38,62304696.02,66,5179750800000,37900800000,0,2022,2.857773
,1606,.,90,1127192000,10690.31,4621.07,38877255.47,67,10924958200000,25049220000,0,5626.66,1.472051
,1695,.,90,1785913000,10368.08,6150.21,146530868.6,160,17777309400000,19849200000,0,5452.5,3.694267
,1745,.,90,3026531000,18956.55,9966.02,361202350.4,359,31378269200000,181077582000,0,9950.17,12.596527
,1943,.,90,278742400,1203.56,1647.71,44080670.41,44,3295038800000,17052000000,0,685.99,2.158214
,2080,.,90,2021247200,8593.36,10194.88,112074995.3,163,22711339000000,35606659200,0,4892.04,2.004906
,2103,.,90,11557796000,243465.65,38774.78,543390799.3,472,114935687600000,314168400000,0,128211.64,40.633958
,2107,.,90,4294443000,82452.52,33419.53,208846484.4,247,44608966400000,42579600000,0,43407.5,5.507166
,2526,.,90,844560300,13606.01,3249.82,83455905.39,83,9380928000000,29389411800,0,7159.45,1.062734
,2527,.,90,967698100,16430.33,3539.69,89781894.6,88,10224381000000,55440000000,0,8634.61,2.000441
,2535,.,90,2313690500,32397.33,6653.85,93448285.05,87,21748954200000,6964372800,0,17075.91,0.250055
,2549,.,90,4796930000,60874.27,22085.95,383335280.1,310,50120791000000,0,0,32016.55,0
,2554,.,90,3881033000,62428.87,10925.25,218082324.6,208,38158582400000,0,0,32855.31,0
,2642,.,90,1455583000,23586.4,4329.04,93724035.03,143,15235155800000,43470000000,0,12421.2,2.232635
,2706,.,90,2215385000,18674.35,9186.59,73270945.96,76,22056614400000,56893410000,0,9808.77,2.887541
,2718,.,90,2660291000,21140.64,8109.56,228564503.9,160,27101781200000,222598227600,0,11096.25,11.401323
,2721,.,90,1986078000,15746.26,6042.23,156909428.7,146,20282079200000,45933396600,0,8292.53,2.351709
,2727,.,90,9583152000,66869.04,25980.17,301045119,184,87937571200000,184191567000,0,35090.19,9.406836
,2790,.,90,451317100,2573.6,848.59,38714677.24,51,5914047600000,0,208000000,3622.54,0
,2850,.,90,15337643000,175972.55,71896.57,493628364.9,536,151710888000000,94782706200,0,92645.49,14.7086
,2864,.,90,2729962000,72501,14110.55,214895266.3,263,30199028200000,9825253200,0,38151.77,0.952591
,2872,.,90,6922038000,234694.5,41274.1,380313813.4,383,67584710000000,216435387000,0,123433.3,20.959978
,2876,.,90,8188052000,243022.75,52400.8,294828569.1,334,80578613800000,17301312000,0,127853.3,1.830761
,3098,.,90,1647952400,3938.31,8256.64,224807216.1,226,18328423000000,50624733600,0,14792.98,3.670452
,3130,.,90,1181454000,15612.19,4511.28,110843468.6,93,13081737600000,128997792000,0,8212.02,5.270507
,3131,.,90,3731544000,55780.7,13842.07,202581576.3,133,37347177800000,303584274000,0,29326.96,18.751158
,3138,.,90,1547152000,21290.11,8107.75,142393052.2,170,17854842600000,71983375800,0,11200.2,4.060419
,3140,.,90,8511783000,124874.79,25298.65,307881796.1,216,82927901200000,367673040000,0,65827.1,10.363892
,3149,.,90,10797135000,139023.27,30496.01,304126385,194,100326802600000,237718299000,0,73163.28,7.26946
,3178,.,90,2209082000,30927,10053.57,92766929.09,82,22445979600000,20359500000,0,16265.64,1.562845
,3297,.,90,4303804000,36224.59,18403.02,133580572.3,93,42421678200000,253411561200,0,19049.4,5.502701
,3497,.,90,6316901000,55278.06,18468.71,189528061,230,70447585600000,0,1267781100000,37031.13,0
,3644,.,90,1261587000,6294.43,4368.36,58061003.73,97,13982507600000,12936000000,0,3297.02,0.982359
,3775,.,90,4403565000,24629.7,18009.33,166502850.2,180,41081872000000,27030683400,0,12992.7,1.864994
,3776,.,90,1321647000,7863.63,5380.51,133507437.5,133,12884014000000,92664583200,0,4132,2.683627
,3788,.,90,2227901000,13334.78,6824.15,193072043,197,23383792600000,144802190400,0,7016.55,3.77613
,3796,.,90,622965000,4067.7,2748.27,97815646.61,131,6296513600000,31164000000,0,2146.56,1.577729
,3936,.,90,1256821000,7264.4,5371.22,140081596.1,143,12285632000000,37041547200,0,3813.6,4.096141
,3945,.,90,354366000,3285.14,1959.72,79198408.87,82,4363168800000,20134800000,0,1721.82,1.518192
,3946,.,90,734427000,8142.97,4791.51,86163987.65,73,7689864600000,18358200000,0,4275.84,1.384234
,3947,.,90,4714623000,151389.65,30873.32,180573800.4,245,45170994000000,20575636200,0,79701,0.715932
,3948,.,90,5783611000,59315.69,26427.72,340963489.6,257,57327736000000,321057878400,0,31215.2,27.014884
,4054,.,90,947840000,6294.9,8207.45,52517840.11,63,9879861200000,3910200000,0,3306.7,0.520948
,4072,.,90,1354485000,24982.81,7456.64,126278103.1,147,14954014600000,0,313880800000,13143.07,0
,4158,.,90,5776274000,19095.81,34791.32,224208460.1,251,64314995400000,80539200000,0,15112.65,6.072767
,4162,.,90,4672687000,24216.24,18926.44,184648453.7,208,48413204000000,21756000000,70829000000,21557.1,1.65215
,6002,.,90,11091871000,45136.53,32797.04,569960993.3,441,103988420000000,70136333400,1974072000000,23708.06,8.280099
,6004,.,90,7122037000,40987.18,27949.73,417299145,246,73799341000000,315050400000,0,96432.79,23.755237
,6016,.,90,2010560000,8724.15,7524.77,161531194.1,130,20698722000000,30652910400,0,32827.2,1.419956
,6017,.,90,4708299000,23701.32,11250.55,349401622.8,240,48816501200000,151171742400,0,40084.84,10.722602
,6095,.,90,5721165000,24950.73,24402.99,227544125.7,219,58426380400000,54643083600,0,14162.57,4.337266
,6139,.,90,7409660000,27608.53,36926.87,218416767,131,80448842400000,166404000000,0,15816.75,8.424476
,6146,.,90,15624636000,62391.99,45495.52,455922837.1,618,173237374000000,385434000000,0,143841.4,49.490077
,6147,.,90,12963310000,71055.77,47687.92,329593092.7,458,146069591200000,498456000000,0,60984.02,64.002205
,6155,.,90,5568312000,48804.76,20219.89,249335094.1,234,54409208800000,50059800000,0,25715.54,6.474642
,6178,.,90,4178566000,15049.47,14464.42,132467343.9,110,40607892000000,34160758800,0,7905.62,1.035943
,6193,.,90,7271810000,25633.71,28478.78,198185871,148,66776047600000,0,119371800000,14682.66,0
,6248,.,90,3244095000,12106.54,22608.56,203365757.9,112,34098141600000,90568791600,0,6985.64,8.466152
,6264,.,90,7046188000,35199.73,20664.49,317291049.6,251,65891376000000,214891362000,0,18505.8,19.879383
,8042,.,90,10955621000,74295.99,43674.42,281288720.9,181,99300697600000,101603313000,0,39058,5.209482
,8102,.,90,13454960000,365308.27,62345.05,494960120,369,128338714000000,217609618800,0,192140.6,21.123705
,8226,.,90,3333567000,40220.61,9975.48,177644682.4,161,32739938400000,0,159956800000,21119.97,0
,,,,,,,,,,,,,
,3,.,91,7421235000,53417.49,23023.37,373328694,412,71646211000000,40057995600,402192500000,28094.55,2.655347
,8,.,91,8695912000,107377.5,28156.52,346356727.1,477,84669460200000,104603112600,0,56579.95,11.962459
,470,.,91,3458565000,12292.06,16114.94,183174764.7,123,36208576000000,51787650600,23784800000,7003.92,3.843109
,602,.,91,4789172000,26612.58,15483.79,456836707.6,166,51096126400000,656531454600,0,13966.08,34.065546
,641,.,91,4330644000,103881.25,20049.33,277854668.3,244,46103146000000,32222400000,893500000000,54656.6,3.750827
,708,.,91,2470539000,30856.02,11166.36,191269355.1,279,26237342200000,91908600000,0,16257.39,11.758545
,709,.,91,8826731000,92809.81,38982.15,305569372.2,430,87548387400000,54482400000,0,48793.39,6.99559
,728,.,91,3895750000,68963.8,13017.64,289649514.9,406,40756339800000,111104700000,0,36304.63,14.214443
,856,.,91,3532451000,23890.15,15086.88,189266127,164,35325370800000,42367949400,0,12593.36,2.390408
,861,.,91,3398092000,109334.99,27705.4,223797620.8,289,35705608800000,59366193600,0,57519.8,2.7
,862,.,91,483492200,12956.65,2533.79,91053460.98,104,5357066800000,56529400200,0,6822.9,2.991731
,863,.,91,420507900,9282.88,1461.48,70693510.25,88,4340958400000,48615890400,0,4885.96,2.750606
,864,.,91,1018700900,25063.14,3597.17,134806002.8,149,10616681600000,218608336800,0,13173.15,27.401874
,876,.,91,2976439000,112205.58,27712.69,275696597.7,297,34995700000000,0,128649800000,59083.2,0
,879,.,91,3535071000,15074.85,19979.41,550172943.6,352,44131122000000,0,159000000000,8687.23,0
,887,.,91,6923490000,115531.92,23786.26,378139018.3,349,71713552400000,69366767400,0,60777.74,6.377894
,889,.,91,8858564900,227964.42,57478.3,352451993.7,266,90940127600000,74676000000,0,119893.24,3.780595
,983,.,91,9575326000,243325.26,62691.55,343767316.8,384,93069506200000,20808295200,0,128110.23,1.607497
,988,.,91,3409103000,53343.53,21020.99,338920426.2,336,33717650400000,133010648400,0,28090.71,14.640132
,991,.,91,575216000,6004.07,2224.77,122106797.2,103,6751524600000,79444327200,0,3160.93,5.301764
,994,.,91,9905461000,115666.72,27613.61,558571190.3,334,102127883200000,97696872000,0,124522.39,6.791676
,1004,.,91,130801950,4082.4,953.97,67127645.16,69,1846686200000,28194600000,0,2145.2,2.187982
,1008,.,91,2263637350,48615.23,12166.08,151638757.4,155,24462753000000,189369629400,0,25593.97,9.793826
,1012,.,91,2256222100,51513.02,9081.19,111766170.8,88,24864469000000,9340800000,17595600000,27101.66,0.928776
,1047,.,91,1187835500,6444.63,6571.77,94787525.78,54,14091783800000,34104000000,0,3583.4,4.316428
,1250,.,91,1978746000,4002.42,7746.05,120244086.9,134,21498646800000,0,303347600000,4414.07,0
,1355,.,91,3321443000,48487,11483.99,137979208.1,153,35282840800000,57624000000,0,25541.67,5.83462
,1356,.,91,10037625000,103584.79,32221.89,395835847.9,236,101947554000000,143472000000,0,54448.12,14.527012
,1357,.,91,682228000,14868.59,3730.41,73436319.88,109,7923101200000,16464000000,0,7924.46,1.667034
,1364,.,91,6525564000,172367.42,22139.86,352766185.9,352,67456218600000,225204512400,86715000000,90743.28,18.242117
,1570,.,91,580151000,4701.21,1903.12,62402391.34,66,6310494400000,32571000000,0,2462.39,2.455899
,1606,.,91,1103562000,11249.63,4489.06,39251158.57,70,10661856000000,12244717800,0,5916,0.781422
,1695,.,91,2017146000,10410.58,7074.61,145452736.7,151,19911465600000,15762600000,0,5470.87,1.942393
,1745,.,91,3129543000,17420.58,10630.45,361539886.7,299,32642130400000,146085878400,0,9168.67,9.064498
,1943,.,91,242120600,792.38,1489.56,45064340.62,46,2934088400000,19404000000,0,447.06,1.964719
,2080,.,91,2060675200,7078.79,9980.83,113859418.1,163,22281831000000,41192453400,0,4025.16,3.170342
,2103,.,91,10900689000,208563.48,38883.65,552925178.8,467,110115804000000,504050400000,0,109672.89,65.192944
,2107,.,91,4076423000,89437.2,30453.72,209186604.9,245,42292399200000,33948600000,0,47053.14,4.390849
,2526,.,91,717561600,10319.29,2854.97,86025988.95,84,8149327400000,21962039400,0,5434.48,0.791841
,2527,.,91,839562500,12678.95,3268.13,92946071.56,88,9063136200000,42735000000,0,6674.47,1.542007
,2535,.,91,2332303400,31037.39,6583.55,94672492.52,89,21934505800000,9309098400,0,16325.22,0.333407
,2549,.,91,4625934000,57396,21553.7,391050540.4,301,47996046000000,0,0,30212.98,0
,2554,.,91,4088624000,61841.38,11385,221048361.2,208,39777567800000,0,0,32587.86,0
,2642,.,91,1403216000,22515.87,4099.89,94629104.45,146,14485404600000,56221200000,0,11835.58,5.775083
,2706,.,91,1977622000,17530.88,8211.13,73808898.44,76,19625000400000,46922400000,0,9219.69,2.381477
,2718,.,91,1411519000,11380.7,4385.33,235023395.9,159,14510797400000,191991718800,0,5969.67,9.793826
,2721,.,91,1403171000,10644.1,4369.53,167136754.4,143,14693299400000,113006464200,0,5587.14,5.775083
,2727,.,91,9149880000,62889.18,24903.11,301245002.4,182,83600488000000,157593416400,0,33073.52,8.037486
,2790,.,91,436364600,2525.43,820.38,39085882.14,51,5712700600000,0,199600000,3560.48,0
,2850,.,91,14382206000,157671.16,63288.3,499972884.1,558,144739789200000,88447228800,0,82945.03,11.660309
,2864,.,91,2220551500,62723.04,11027.9,220342821.6,260,24056324200000,17340447600,0,33040.33,1.789085
,2872,.,91,7234055000,244917.31,41359.2,384778357.8,376,70871389400000,215551728000,0,128839.3,21.674421
,2876,.,91,7781547000,232338.05,50321.7,295247819.7,334,77818326000000,29029980000,0,122322.54,2.828004
,3098,.,91,2389738900,5283.1,12676.91,226518932.1,220,28166833600000,93378217800,0,19885.03,5.731918
,3130,.,91,1223497000,17213.58,4867.04,110906695.7,97,13671299000000,124256970600,0,9057.54,15.424531
,3131,.,91,3585570000,52649.31,13536.93,203692938.4,130,36542889800000,410356800000,0,27665.2,50.694212
,3138,.,91,1477291000,19062.35,7555.84,143061029,163,16809468000000,49848409800,0,10041.82,3.027453
,3140,.,91,9101454000,129629.7,26971.83,311826035.3,217,88789228800000,271957530600,0,68070.54,8.559923
,3149,.,91,8647086000,112837.29,24661.98,306884480.3,194,82051728000000,414077680800,0,59273.85,12.288423
,3178,.,91,2300158000,33621.59,10345.92,93517857.77,83,23260203200000,30248400000,0,17677.64,2.32194
,3297,.,91,3390891000,29125.23,14315.61,134866947.3,92,33298248600000,666824545800,0,15293.98,20.254465
,3497,.,91,7021764000,66781.14,20958.47,193653246.9,215,78003618400000,0,1361569400000,44623.76,0
,3644,.,91,1193142000,4974.83,4110.26,58834547.62,97,12921291400000,11844000000,0,2629.92,0.893054
,3775,.,91,4347081000,25452.02,18025.28,168709567.6,170,41030378400000,46404229200,0,13384.16,4.038093
,3776,.,91,844255000,5301.01,3484.11,136743927.8,131,8182051800000,100352708400,0,2772.86,2.560088
,3788,.,91,2277243000,13913.54,6953.17,193960233.4,190,23753802000000,171400954200,0,7333.37,4.78677
,3796,.,91,1080326000,7859.37,4786.53,98407653.69,130,11086813800000,43512000000,0,4120.71,2.202867
,3936,.,91,281374000,1703.6,1206.12,143810497.8,144,2766028400000,18592072800,0,896.01,1.905182
,3945,.,91,362259000,2364.1,2128.16,79278175.03,81,4693326600000,21911400000,0,1237.12,1.65215
,3946,.,91,791054000,8602.17,5206.62,86250402.26,73,8296539400000,23095800000,0,4536.1,1.741455
,3947,.,91,4888528000,161926.69,32138.7,180905403.9,233,47266679000000,19034731800,0,85242.17,0.638534
,3948,.,91,5263422000,59486.78,23688.65,341458794.1,258,51279526000000,293723354400,0,31260.09,26.653197
,4054,.,91,939533000,5680.19,6790.71,53262229.99,63,9983714800000,8648577000,0,2968.4,1.116318
,4072,.,91,1524511000,25246.61,8464.9,126636385.2,149,16925851800000,0,208137200000,13290.84,0
,4158,.,91,6016141000,23671.54,37532.47,226320738.7,251,66753204200000,60404400000,0,16660.41,4.554576
,4162,.,91,4138106000,20251.79,16587.3,186320805.2,208,43450449200000,15397200000,80191300000,15695.26,1.16097
,6002,.,91,14124509000,58874.95,40574.22,737593267.9,446,130685016000000,51035838000,2857018300000,30987.98,5.974531
,6004,.,91,6849896000,170860.24,21584.73,417872630.6,244,69850459800000,337554000000,0,90010.67,25.45204
,6016,.,91,2008293000,8542.68,7373.78,162681370.1,131,20340920400000,29644637400,0,32072.9,1.82183
,6017,.,91,4185675000,13440.75,10306.42,349700833.6,244,44361469600000,166441115400,0,37142.88,11.106615
,6095,.,91,5169301000,21205.27,22499.56,227693335.2,219,52886442200000,90102957000,0,11995.6,9.920342
,6139,.,91,8156987000,30269.2,40238.35,218558826.3,132,86926667800000,161700000000,0,17240.85,8.186329
,6146,.,91,15885755000,67345.81,46257.45,457488350.9,575,176463013200000,219088800000,0,152772.51,28.131202
,6147,.,91,11184884000,55100.94,41667.41,334438478.7,426,124936683000000,428904000000,0,48491.31,55.071665
,6155,.,91,5463839000,45148.97,21620.41,249635521.9,236,55310223200000,96091800000,0,25800.36,12.428335
,6178,.,91,3920830000,12759.55,13463.22,132511555.5,110,38331202600000,34749737400,0,6640.39,1.053804
,6193,.,91,7096837000,24165.66,30724.75,198855941.5,148,72054149600000,0,63947700000,13788.76,0
,6248,.,91,3049785000,11137.73,17490.79,203961523.6,125,32918620800000,23666479200,84287700000,6356.48,2.318964
,6264,.,91,5854979000,29712.77,17369.03,318142614.9,248,55742576000000,279827116800,0,15549.15,24.493495
,8042,.,91,13119586000,89273.56,53271.99,281619727.1,181,122217880400000,127741080600,0,46980.36,6.549063
,8102,.,91,14364952000,401136.64,68597.88,498401119.2,369,140630207600000,184851063600,0,211161.47,18.155788
,8226,.,91,2907949000,36216.46,8689.57,178360496.6,160,28854310200000,0,209506400000,19078.95,0
,,,,,,,,,,,,,
,3,.,92,9407962000,66333.15,29068.21,377142614.2,414,90525605200000,32970991200,477004600000,34839.72,2.192448
,8,.,92,8410873000,114498.87,27525.39,348173283.4,477,82621815800000,119563269000,0,60184.58,14.096858
,470,.,92,3408628000,10782.6,15798.25,184384317.7,121,35352101400000,47119472400,26267000000,6229.5,2.823539
